alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
-0.00,993.36,-0.795,0.464,9.778,0.032,0.021,-0.055,36.72
0.02,993.35,-0.848,0.402,9.764,0.030,0.022,-0.056,36.71
-0.02,993.36,-0.809,0.460,9.759,0.032,0.021,-0.055,36.67
0.01,993.36,-0.848,0.493,9.764,0.034,0.021,-0.056,36.72
0.04,993.35,-0.852,0.450,9.749,0.033,0.022,-0.058,36.69
0.05,993.35,-0.852,0.445,9.807,0.032,0.021,-0.056,36.69
0.06,993.35,-0.804,0.450,9.749,0.030,0.024,-0.055,36.71
0.04,993.35,-0.824,0.464,9.744,0.032,0.023,-0.057,36.68
0.02,993.35,-0.809,0.460,9.783,0.031,0.022,-0.055,36.70
-0.02,993.36,-0.876,0.484,9.744,0.034,0.023,-0.057,36.67
-0.03,993.36,-0.833,0.460,9.773,0.032,0.023,-0.055,36.69
-0.01,993.36,-0.814,0.445,9.725,0.031,0.024,-0.057,36.68
-0.03,993.36,-0.852,0.479,9.673,0.033,0.022,-0.054,36.69
0.01,993.36,-0.848,0.441,9.754,0.033,0.022,-0.055,36.73
-0.00,993.36,-0.800,0.455,9.754,0.034,0.023,-0.057,36.71
-0.01,993.36,-0.776,0.460,9.735,0.032,0.023,-0.057,36.68
-0.02,993.36,-0.867,0.594,9.931,0.032,0.023,-0.057,36.70
0.02,993.35,-0.804,0.436,9.649,0.031,0.021,-0.054,36.70
-0.01,993.36,-0.795,0.359,9.687,0.033,0.022,-0.055,36.70
-0.00,993.36,-0.824,0.445,9.778,0.030,0.023,-0.057,36.71
-0.01,993.36,-0.843,0.469,9.764,0.031,0.023,-0.056,36.69
-0.02,993.36,-0.804,0.498,9.759,0.032,0.022,-0.056,36.68
-0.03,993.36,-0.824,0.460,9.735,0.032,0.023,-0.056,36.71
-0.01,993.36,-0.838,0.474,9.725,0.033,0.025,-0.058,36.71
-0.01,993.36,-0.843,0.441,9.778,0.032,0.020,-0.056,36.70
0.00,993.36,-0.838,0.464,9.754,0.030,0.022,-0.056,36.68
0.02,993.35,-0.824,0.445,9.749,0.030,0.022,-0.056,36.69
-0.01,993.36,-0.828,0.469,9.735,0.031,0.021,-0.056,36.71
0.02,993.35,-0.867,0.464,9.797,0.030,0.022,-0.055,36.69
-0.01,993.36,-0.723,0.163,9.596,0.030,0.021,-0.054,36.70
0.02,993.35,-0.824,0.436,9.855,0.033,0.022,-0.055,36.71
0.03,993.35,-0.843,0.541,9.764,0.032,0.022,-0.056,36.68
0.04,993.35,-0.833,0.484,9.764,0.032,0.023,-0.056,36.68
0.03,993.35,-0.804,0.402,9.773,0.031,0.022,-0.057,36.72
0.02,993.35,-0.819,0.464,9.720,0.031,0.023,-0.058,36.69
0.01,993.36,-0.828,0.464,9.768,0.029,0.023,-0.058,36.70
0.02,993.35,-0.833,0.479,9.759,0.032,0.022,-0.055,36.70
0.01,993.36,-0.862,0.464,9.783,0.030,0.024,-0.056,36.69
-0.03,993.36,-0.843,0.455,9.744,0.031,0.022,-0.056,36.70
-0.04,993.36,-0.833,0.469,9.768,0.031,0.022,-0.055,36.68
-0.01,993.36,-0.809,0.474,9.802,0.030,0.023,-0.057,36.69
0.02,993.35,-0.838,0.455,9.744,0.031,0.022,-0.056,36.71
-0.02,993.36,-0.833,0.474,9.811,0.032,0.022,-0.057,36.71
-0.01,993.36,-0.819,0.445,9.773,0.033,0.024,-0.055,36.68
0.03,993.35,-0.824,0.450,9.749,0.033,0.024,-0.056,36.69
0.07,993.35,-0.804,0.469,9.787,0.033,0.023,-0.056,36.72
0.02,993.35,-0.848,0.436,9.749,0.031,0.022,-0.056,36.69
0.05,993.35,-0.804,0.450,9.720,0.032,0.022,-0.056,36.69
0.00,993.36,-0.833,0.474,9.773,0.032,0.022,-0.056,36.71
0.03,993.35,-0.838,0.469,9.706,0.031,0.023,-0.056,36.70
-0.00,993.36,-0.814,0.474,9.783,0.032,0.022,-0.055,36.69
0.01,993.36,-0.848,0.484,9.783,0.030,0.023,-0.058,36.70
-0.02,993.36,-0.800,0.441,9.792,0.032,0.021,-0.055,36.69
0.01,993.35,-0.790,0.479,9.749,0.033,0.023,-0.056,36.71
-0.01,993.36,-0.838,0.484,9.706,0.032,0.022,-0.056,36.69
-0.00,993.36,-0.828,0.469,9.783,0.033,0.021,-0.055,36.70
-0.03,993.36,-0.809,0.450,9.725,0.029,0.021,-0.056,36.69
0.03,993.35,-0.790,0.450,9.759,0.032,0.023,-0.056,36.69
0.04,993.35,-0.804,0.503,9.701,0.032,0.023,-0.058,36.69
0.05,993.35,-0.848,0.431,9.725,0.030,0.021,-0.056,36.70
0.04,993.35,-0.800,0.436,9.735,0.030,0.021,-0.055,36.70
0.04,993.35,-0.838,0.441,9.740,0.032,0.023,-0.057,36.68
0.03,993.35,-0.814,0.445,9.730,0.031,0.021,-0.057,36.71
0.04,993.35,-0.833,0.469,9.840,0.031,0.022,-0.055,36.68
0.02,993.35,-0.852,0.479,9.701,0.032,0.023,-0.056,36.70
0.00,993.36,-0.809,0.417,9.701,0.033,0.022,-0.056,36.68
0.01,993.36,-0.785,0.460,9.759,0.032,0.023,-0.056,36.68
0.03,993.35,-0.833,0.436,9.744,0.033,0.023,-0.058,36.70
0.02,993.35,-0.843,0.479,9.768,0.030,0.023,-0.056,36.69
-0.02,993.36,-0.828,0.479,9.744,0.031,0.022,-0.056,36.68
-0.04,993.36,-0.848,0.426,9.778,0.031,0.023,-0.056,36.69
-0.03,993.36,-0.814,0.407,9.754,0.031,0.022,-0.055,36.71
0.01,993.36,-0.852,0.464,9.792,0.032,0.021,-0.057,36.69
0.01,993.36,-0.795,0.460,9.797,0.032,0.023,-0.058,36.67
0.03,993.35,-0.838,0.484,9.692,0.031,0.022,-0.056,36.69
0.04,993.35,-0.809,0.441,9.768,0.032,0.022,-0.058,36.70
0.02,993.35,-0.852,0.488,9.720,0.032,0.022,-0.055,36.68
0.04,993.35,-0.809,0.479,9.706,0.031,0.023,-0.058,36.70
0.04,993.35,-0.838,0.450,9.730,0.033,0.023,-0.057,36.70
0.02,993.35,-0.848,0.464,9.687,0.032,0.022,-0.056,36.72
-0.01,993.36,-0.862,0.479,9.768,0.032,0.021,-0.055,36.69
-0.02,993.36,-0.795,0.450,9.735,0.031,0.021,-0.056,36.70
0.04,993.35,-0.785,0.455,9.735,0.032,0.023,-0.056,36.67
0.02,993.35,-0.804,0.417,9.749,0.031,0.021,-0.056,36.70
0.02,993.35,-0.804,0.460,9.744,0.032,0.022,-0.055,36.72
0.00,993.36,-0.809,0.426,9.778,0.032,0.022,-0.058,36.73
-0.03,993.36,-0.828,0.455,9.759,0.031,0.023,-0.057,36.69
